id,year,question_text,option_A,option_B,option_C,option_D,correct_answer,explanation,tags
1,2020,Which of the following muscle prevents lateral displacement of patella during extension at knee joint?,Rectus femoris,Vastus lateralis,Vastus intermedius,Vastus medialis,D,"The Vastus medialis, specifically its distal fibers known as the Vastus Medialis Obliquus (VMO), acts as the primary dynamic stabilizer of the patella. It exerts a medial pull that counteracts the natural tendency of the patella to shift laterally during knee extension.",Anatomy|Musculoskeletal|Lower Limb|haryanamo
2,2020,"A tuft of hair on the back of a newborn, is likely to be associated with:",Spina bifida occulta,Klippel Feil syndrome,Spina bifida cystica (myelomeningocele),Hypertrichosis lanuginose,A,"A localized tuft of hair (often called a 'faun tail nevus') over the lumbosacral region is a classic cutaneous marker for Spina Bifida Occulta, a mild neural tube defect where the vertebral arches fail to fuse.",Pediatrics|Neurology|Medicine|haryanamo
3,2020,A lesion of left hypoglossal nerve causes:,Deviation of tongue to the right on protrusion,Loss of taste sensation on the left half of the posterior one-third,Deviation of tongue to the left on protrusion,Total inability to protrude the tongue,C,"The Hypoglossal nerve (CN XII) is the motor nerve for the tongue. A lesion of this nerve causes paralysis of the muscles on the same side. When the patient protrudes the tongue, it deviates toward the side of the lesion because the healthy genioglossus muscle on the opposite side pushes the tongue forward and toward the paralyzed side.",Anatomy|Neurology|Cranial Nerves|haryanamo
4,2020,Violent inversion of foot will lead to avulsion of the tendon of which of the following muscle attached to the tuberosity of 5th metatarsal?,Peroneus brevis,Peroneus longus,Peroneus tertius,Extensor digitorum brevis,A,"The Peroneus brevis muscle inserts into the tuberosity at the base of the 5th metatarsal. During violent inversion injury, this muscle undergoes forceful reflex contraction, which can avulse a piece of bone from the tuberosity, causing a 'Pseudo-Jones' or avulsion fracture.",Anatomy|Orthopedics|Traumatology|haryanamo
5,2020,The Sickle cell anemia results because of a defect in which of the following chain?,Alpha chain,Beta chain,Gamma chain,Delta chain,B,"Sickle cell anemia is caused by a point mutation in the HBB gene, which encodes the Beta (β) globin chain of hemoglobin. This mutation leads to substitution of glutamic acid with valine at the 6th position of the beta chain.",Medicine|Hematology|Genetics|haryanamo
6,2020,Parahemophilia is due to the deficiency of:,Factor I,Factor V,Factor VII,Factor IX,B,"Parahemophilia, also known as Owren's disease, is caused by deficiency of Factor V (Labile factor). It is a rare autosomal recessive bleeding disorder.",Medicine|Hematology|haryanamo
7,2020,"'In brain ischemia, systemic blood pressure rises'. This is called as:",Baroreceptor reflex,Cushing reflex,Bainbridge reflex,Bezold Jarisch reflex,B,"The Cushing reflex (or Cushing triad) is a physiological response to increased intracranial pressure. When the brain becomes ischemic, the body raises systemic blood pressure to maintain cerebral perfusion. It is characterized by Hypertension, Bradycardia, and Irregular respirations.",Physiology|Neurology|Medicine|haryanamo
8,2020,Which end product of citric acid cycle is used in detoxification of ammonia in brain?,Oxaloacetate,Alpha-ketoglutarate,Succinate,Citrate,B,"Alpha-ketoglutarate (α-KG) reacts with ammonia (NH3) to form Glutamate, which can further pick up another ammonia molecule to form Glutamine. This is the primary mechanism for ammonia detoxification in the brain.",Biochemistry|Neurology|Medicine|haryanamo
9,2020,A person on a fat free carbohydrate rich diet continues to grow obese. Which of the following lipoproteins is going to be elevated in his blood?,Chylomicrons,VLDL,LDL,HDL,B,"When excess carbohydrates are consumed, the liver converts them into triglycerides through lipogenesis. These endogenous triglycerides are packaged into Very Low-Density Lipoproteins (VLDL) and released into the blood.",Biochemistry|Nutrition|Physiology|haryanamo
10,2020,Which of the following organs does not utilize ketone bodies?,Liver,Brain,Skeletal muscles,Cardiac muscles,A,"The Liver produces ketone bodies (ketogenesis) but cannot use them as fuel because it lacks the enzyme thiophorase (succinyl-CoA:3-ketoacid CoA transferase). Other organs like brain, skeletal muscles, and cardiac muscles can utilize ketone bodies.",Biochemistry|Physiology|Medicine|haryanamo
11,2020,Which of the following drug is used for rapid symptomatic relief of urinary symptoms in benign prostatic hypertrophy?,Tamsulosin,Finasteride,Flutamide,Dutasteride,A,"Tamsulosin is an alpha-1 blocker that relaxes the smooth muscles of the bladder neck and prostate, providing rapid relief (within hours to days) of obstructive symptoms in BPH.",Pharmacology|Urology|Surgery|haryanamo
12,2020,All of the following drugs reduce mortality in patients of congestive cardiac failure EXCEPT:,Furosemide,Hydralazine-isosorbide dinitrate,Telmisartan,Carvedilol,A,"While furosemide provides symptomatic relief by reducing fluid overload in congestive heart failure, it does not reduce mortality. Drugs like beta-blockers (carvedilol), ARBs (telmisartan), and vasodilators (hydralazine-isosorbide) have shown mortality benefits.",Pharmacology|Cardiology|Medicine|haryanamo
13,2020,Which of the following tumour occurs due to radiation exposure?,Giant cell tumour of bone,Colorectal carcinoma,Seminoma,Papillary carcinoma of thyroid gland,D,"Papillary carcinoma of the thyroid gland is strongly associated with radiation exposure, particularly in childhood. This was notably observed after the Chernobyl nuclear disaster.",Oncology|Radiology|Medicine|haryanamo
